chain,pool,factory,factory_version,token0,token0_symbol,token0_balance,token0_value_usd,token1,token1_symbol,token1_balance,token1_value_usd,total_value_usd,blockNumber,txHash,priceProvider,admin,adminFeeDestination
ethereum,0x948462ce2b2eae59c65d9f2f94b3d8de4fbd4396,0xe22F9fc0f04486dE25ed6CF1800a4a47aFD82e0C,legacy(A),0x9d39a5de30e57443bff2a8307a4256c8797a3497,sUSDe,116115617956794450789685,144296.88790629932,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,USDe,366310396082415048601871,366171.5857292257,510468.47363552504,0x1798cf4,0x7ab4879f61f4d0d502d60903d0cf117b5b57efad7004de6b5e458fd822f7c8e5,0xc707987ea4dddd45890b1b23af6badad6a0adcac,,
bsc,0xed1029bbaea4a2903993b43f24f52a36eca717b8,0xe22F9fc0f04486dE25ed6CF1800a4a47aFD82e0C,legacy(A),0x205812cdbed920aff76c6580abd681a46d11efc7,QQQB,119267607318006413141,86158.55716480312,0x55d398326f99059ff775485246999027b3197955,USDT,377762866811015979478543,377557.29713316215,463715.8542979653,0x6b78119,0x3f36dd0d22166d57cf6d15df0ee279270b19baf1873de50089ce16e8438bb4b5,0xa1b8fcc115eeb649d3ba4d787bf518ce84387850,,
robinhood,0x328b09f80379432d92dbd8ba91999e83b70da706,0x622911384e7973439b8be305f5e3Fc3c5736EDe4,v1(B),0x0bd7d308f8e1639fab988df18a8011f41eacad73,WETH,90455605807483871536,169724.55991475182,0x5fc5360d0400a0fd4f2af552add042d716f1d168,USDG,178375397309,178343.1229677504,348067.6828825022,0x1f6d3ea,0x100b1cf0be4fab518b9704b3268ae1ddb651d78d145294eeb0726ef46fe06a0f,0xb1e4142db0257c35ccd2105699d1cc7250179117,0x05af07e7fedc42999eb00c666d1a6c76c0806f0f,0xde0ae901fe81c82ce26d6cbdc671125e5fd8f8ae
base,0x11d5a5e1633c3a99fd023b8fd2d3486773c50993,0xe22F9fc0f04486dE25ed6CF1800a4a47aFD82e0C,legacy(A),0x4200000000000000000000000000000000000006,WETH,92403477628722903018,173404.47536163297,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USDC,159174242794,159102.82562693747,332507.30098857044,0x2edfd83,0xa482159b3d76426802d58b19e734d0c03fdb43a06ec63e81987515146cee59bc,0x244b8e9de71cc2fbb2e1c42ba41ab17bc9358c4c,,
polygon,0xc365ef377bdd942b487e9cb2db97a2617b0856e4,0xe22F9fc0f04486dE25ed6CF1800a4a47aFD82e0C,legacy(A),0x2791bca1f2de4661ed88a30c99a7a9449aa84174,USDC,277318742067,277164.1799431704,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,USDC,54911991185,54887.35366337993,332051.5336065503,0x545aae3,0xdd1ed639ca4d037fd3bccb4333ebaa540c16b64c1327b19d982ecf9d04f837e7,0x3f396eb3b3dc50a6024467c1e8147e63e43e2b7b,,
hyperevm,0x1c8ee7e99e2aecd1338e111716e4744e7d088098,0xe22F9fc0f04486dE25ed6CF1800a4a47aFD82e0C,legacy(A),0x5555555555555555555555555555555555555555,WHYPE,2808312669693886540004,157270.6095745834,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,120563214607,120509.1211614271,277779.7307360105,0x237e301,0x34f908e3de7c47150d31bc893a0a8968c85cd75cddfca9f20e539dd239606ffc,0x916a93913b112270f0e2b70b652918480d25f815,,
ethereum,0x7718360ead37485836e7fa69deae10058813baf1,0xe22F9fc0f04486dE25ed6CF1800a4a47aFD82e0C,legacy(A),0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,196974445044,196800.3242204079,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,65893082951,65863.51851123404,262663.84273164195,0x1859e6f,0xbbb13b176d51a56b547bf2b0e608b1382f04add523ecb83013bc2b1d49bee4f7,0xf1540a540218a98411912f6d9f93d5d96d4e6539,,
ethereum,0x9195196785b07bf781f4f48eeb60a1891ba9b4bc,0xe22F9fc0f04486dE25ed6CF1800a4a47aFD82e0C,legacy(A),0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,64049819583131514191,120195.96715229891,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,111551713566,111501.66333661607,231697.63048891496,0x18089e6,0xed3079be8df0529a3a73b1a110892318a578719f827a399c39b1b46de603cbae,0xa175d15ac8e2626c749d18557bd602950d6a8998,,
arbitrum,0x6ae2d3d4042d352334817cae7cea0607071c20c1,0xe22F9fc0f04486dE25ed6CF1800a4a47aFD82e0C,legacy(A),0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,50845285684685082903,95301.17448751279,0xaf88d065e77c8cc2239327c5edb3a432268e5831,USDC,56079562040,56054.400660993546,151355.57514850632,0x1d1653e3,0xb7af569906097b510ff3bcb448c0eaad57d4f7f1528a690cb004e6af220b2295,0x2b7672aa254f563ebd567fa8277f52a05ebd0c65,,
arbitrum,0x5107e9799e01a104903cca1b1e070c433795a4b3,0xe22F9fc0f04486dE25ed6CF1800a4a47aFD82e0C,legacy(A),0xaf88d065e77c8cc2239327c5edb3a432268e5831,USDC,65196092416,65166.84069698963,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT0,74700114488,74620.46142469253,139787.30212168215,0x1d1653b3,0x81402f3614a95d7e27a396a4a0d6e5ff850d1ea872ea610de31bfeecf3da2575,0x819ed09e5ab1470b9f4ec79dc2c4931af2c1d803,,
